Track[name=Belter - Original Mix Edit,artist=Armin van Buuren,duration=260,color=java.awt.Color[r=5,g=250,b=219],day=-4,graphHeight=54051], 1172641839, -457677737
Track[name=Dusky 2010 (Does She Know Yet) - Radio Mix,artist=Max Graham,duration=189,color=java.awt.Color[r=92,g=163,b=51],day=-4,graphHeight=53862], 1133959554, -1108836302
Track[name=Twilight - Armin van Buuren Remix Edit,artist=Kirsty,duration=195,color=java.awt.Color[r=226,g=29,b=169],day=-4,graphHeight=53666], 1688340600, 942157677
Track[name=Hyperfocus - Wezz Devall Remix Edit,artist=Mark Otten,duration=180,color=java.awt.Color[r=239,g=16,b=239],day=-4,graphHeight=53486], 1239036389, 637286479
Track[name=Overthrow - Protoculture Remix Edit,artist=James Dymond,duration=196,color=java.awt.Color[r=3,g=252,b=120],day=-4,graphHeight=53290], 335664964, 81875875
Track[name=Superman - Original Mix Edit,artist=Mat Zo,duration=248,color=java.awt.Color[r=93,g=162,b=52],day=-4,graphHeight=53042], 81509279, -1330371682
Track[name=Ramsterdam - Jorn Van Deynhoven Remix Edit,artist=Ram,duration=285,color=java.awt.Color[r=147,g=108,b=160],day=-4,graphHeight=52756], 1979369014, -1795903726
Track[name=Blossom - Radio Edit,artist=Abstract Vision,duration=237,color=java.awt.Color[r=4,g=251,b=152],day=-4,graphHeight=52519], 585842621, 162231463
Track[name=Toy Story - Radio Edit,artist=Quintin,duration=188,color=java.awt.Color[r=11,g=244,b=131],day=-4,graphHeight=52331], 44409652, 1958757889
Track[name=Earth Hour - Original Mix Edit,artist=Dash Berlin,duration=238,color=java.awt.Color[r=94,g=161,b=48],day=-4,graphHeight=51857], 1216195655, 137409708
Track[name=Beggin' You - Armin Van Buuren Remix Edit,artist=Jaren,duration=265,color=java.awt.Color[r=98,g=157,b=9],day=-4,graphHeight=50920], 851021439, 1911149005
Track[name=Derezzed (Remixed by Avicii),artist=Daft Punk,duration=304,color=java.awt.Color[r=228,g=27,b=51],day=-4,graphHeight=50520], 876236253, -504112717
Track[name=Holy Ghost,artist=White Lies,duration=261,color=java.awt.Color[r=119,g=136,b=99],day=-4,graphHeight=49947], 1607336692, 442076485
Track[name=Turn The Bells,artist=White Lies,duration=302,color=java.awt.Color[r=126,g=129,b=144],day=-4,graphHeight=49643], 1310986831, -975984992
Track[name=Streetlights,artist=White Lies,duration=298,color=java.awt.Color[r=122,g=133,b=197],day=-4,graphHeight=49342], 573450397, 1667700930
Track[name=Bad Love,artist=White Lies,duration=237,color=java.awt.Color[r=89,g=166,b=94],day=-4,graphHeight=49104], 74214643, -606658705
Track[name=Come Down,artist=White Lies,duration=308,color=java.awt.Color[r=128,g=127,b=154],day=-4,graphHeight=48794], 1784989641, 459889536
Track[name=Peace & Quiet,artist=White Lies,duration=352,color=java.awt.Color[r=228,g=27,b=36],day=-4,graphHeight=48439], 2121831344, -39520118
Track[name=The Power & The Glory,artist=White Lies,duration=311,color=java.awt.Color[r=98,g=157,b=217],day=-4,graphHeight=48125], 505956526, 421057088
Track[name=Strangers,artist=White Lies,duration=325,color=java.awt.Color[r=218,g=37,b=190],day=-4,graphHeight=47800], 1723574009, -1929333985
Track[name=Is Love,artist=White Lies,duration=291,color=java.awt.Color[r=224,g=31,b=136],day=-4,graphHeight=47508], 701454880, -707132566
Track[name=Bigger Than Us,artist=White Lies,duration=281,color=java.awt.Color[r=221,g=34,b=63],day=-4,graphHeight=47225], 1814429777, 457582419
Track[name=Strangers,artist=White Lies,duration=325,color=java.awt.Color[r=218,g=37,b=190],day=-4,graphHeight=46888], 853474639, -1929333985
Track[name=Holy Ghost,artist=White Lies,duration=261,color=java.awt.Color[r=119,g=136,b=99],day=-4,graphHeight=36234], 1304979360, 442076485
Track[name=Streetlights,artist=White Lies,duration=298,color=java.awt.Color[r=122,g=133,b=197],day=-4,graphHeight=35934], 537616709, 1667700930
Track[name=Peace & Quiet,artist=White Lies,duration=352,color=java.awt.Color[r=228,g=27,b=36],day=-4,graphHeight=35580], 1260325234, -39520118
Track[name=Bigger Than Us,artist=White Lies,duration=281,color=java.awt.Color[r=221,g=34,b=63],day=-4,graphHeight=35297], 1654997477, 457582419
Track[name=All Star,artist=Smash Mouth,duration=201,color=java.awt.Color[r=245,g=10,b=180],day=-5,graphHeight=62556], 1334399995, -2127802638
Track[name=Come On Come On,artist=Smash Mouth,duration=152,color=java.awt.Color[r=163,g=92,b=83],day=-5,graphHeight=62403], 1088990344, 954383789
Track[name=All Star,artist=Smash Mouth,duration=201,color=java.awt.Color[r=245,g=10,b=180],day=-5,graphHeight=62095], 1805071874, -2127802638
Track[name=Assassin,artist=Muse,duration=211,color=java.awt.Color[r=210,g=45,b=21],day=-5,graphHeight=56376], 341505149, -390682305
Track[name=The Greatest Story Never Told,artist=Murray Gold,duration=375,color=java.awt.Color[r=117,g=138,b=159],day=-5,graphHeight=55998], 1600734459, 742143286
Track[name=Taken For A Fool,artist=The Strokes,duration=204,color=java.awt.Color[r=131,g=124,b=237],day=-5,graphHeight=55795], 2016406444, 1229041591
Track[name=Feeling A Moment,artist=Feeder,duration=251,color=java.awt.Color[r=243,g=12,b=106],day=-5,graphHeight=55546], 303671001, -781604146
Track[name=My Sound (Cc.K Radio Edit) - Cc.K Radio Edit,artist=Commercial Club Crew,duration=204,color=java.awt.Color[r=15,g=240,b=200],day=-5,graphHeight=55334], 1377368535, 766465422
Track[name=Is Love,artist=White Lies,duration=291,color=java.awt.Color[r=224,g=31,b=136],day=-5,graphHeight=55027], 1706736732, -707132566
Track[name=Peace & Quiet,artist=White Lies,duration=352,color=java.awt.Color[r=228,g=27,b=36],day=-5,graphHeight=54673], 1185181745, -39520118
Track[name=Turn The Bells,artist=White Lies,duration=302,color=java.awt.Color[r=126,g=129,b=144],day=-5,graphHeight=54368], 1438762290, -975984992
Track[name=Bigger Than Us,artist=White Lies,duration=281,color=java.awt.Color[r=221,g=34,b=63],day=-5,graphHeight=51781], 611942810, 457582419
Track[name=Come Down,artist=White Lies,duration=308,color=java.awt.Color[r=128,g=127,b=154],day=-5,graphHeight=51453], 623622187, 459889536
Track[name=Strangers,artist=White Lies,duration=325,color=java.awt.Color[r=218,g=37,b=190],day=-5,graphHeight=51129], 1497899549, -1929333985
Track[name=Holy Ghost,artist=White Lies,duration=261,color=java.awt.Color[r=119,g=136,b=99],day=-5,graphHeight=43460], 246926262, 442076485
Track[name=Strangers,artist=White Lies,duration=325,color=java.awt.Color[r=218,g=37,b=190],day=-5,graphHeight=43135], 1151279430, -1929333985
Track[name=Bad Love,artist=White Lies,duration=237,color=java.awt.Color[r=89,g=166,b=94],day=-5,graphHeight=42896], 725720540, -606658705
